soil_type,season,location,recommended_crop,benefits,fertilizer

# Andhra Pradesh (Black / Red / Alluvial / Laterite)
Black,Kharif,Andhra Pradesh,Cotton,Well-suited to regur for cotton production,"NPK complex, Urea"
Black,Rabi,Andhra Pradesh,Sorghum,Good residual moisture retention,"SSP, Potash"
Black,Zaid,Andhra Pradesh,Maize,Quick summer crop,"NPK"
Red,Kharif,Andhra Pradesh,Groundnut,N-fixing oilseed useful in red soils,"Gypsum, Potash"
Red,Rabi,Andhra Pradesh,Pulses,Drought tolerant legumes,"Phosphate fertilizer"
Red,Zaid,Andhra Pradesh,Sunflower,Short-duration oilseed,"DAP, Potash"
Alluvial,Kharif,Andhra Pradesh,Rice,High yield with irrigation,"Urea, DAP"
Alluvial,Rabi,Andhra Pradesh,Vegetables,Good fertility for vegetables,"Compost, NPK"
Alluvial,Zaid,Andhra Pradesh,Maize,Fast-growing kharif alternative,"Urea, NPK"
Laterite,Kharif,Andhra Pradesh,Cashew,Thrives in well-drained lateritic pockets,"Organic manure"
Laterite,Rabi,Andhra Pradesh,Pineapple,Good drainage and organic matter,"Compost, Potash"
Laterite,Zaid,Andhra Pradesh,Millets,Drought resistant cereals,"Organic manure"

# Arunachal Pradesh (Loamy / Alluvial / Red)
Loamy,Kharif,Arunachal Pradesh,Maize,Adapted to sloping, "Compost"
Loamy,Rabi,Arunachal Pradesh,Millets,Low-input cereals for hills,"Organic manure"
Loamy,Zaid,Arunachal Pradesh,Vegetables,Shaded/terrace-friendly crops,"Compost, NPK"
Alluvial,Kharif,Arunachal Pradesh,Rice,Valley rice paddies in floodplains,"Urea, DAP"
Alluvial,Rabi,Arunachal Pradesh,Green gram,Short-duration pulse in valleys,"Compost"
Alluvial,Zaid,Arunachal Pradesh,Maize,Summer crop in valley lands,"NPK"
Red,Kharif,Arunachal Pradesh,Millets,Well-suited to red/acidic uplands,"Organic manure"
Red,Rabi,Arunachal Pradesh,Oilseeds,Smallholder oilseed cropping,"Gypsum"
Red,Zaid,Arunachal Pradesh,Vegetables,Local summer vegetables,"Compost"

# Assam (Alluvial / Laterite / Red)
Alluvial,Kharif,Assam,Rice,Major staple in Brahmaputra plains,"Urea, DAP"
Alluvial,Rabi,Assam,Jute,Good for humid,"Compost"
Alluvial,Zaid,Assam,Maize,Fast summer crop in dry pockets,"NPK"
Laterite,Kharif,Assam,Pulses,Adapted to upland lateritic soils,"SSP"
Laterite,Rabi,Assam,Groundnut,Improves soil nitrogen,"Gypsum"
Laterite,Zaid,Assam,Vegetables,Short-season vegetables,"Compost"
Red,Kharif,Assam,Millets,Resilient in red uplands,"Organic manure"
Red,Rabi,Assam,Oilseeds,Small-scale oilseed farming,"Phosphate fertilizer"
Red,Zaid,Assam,Vegetables,Local summer crops,"Compost"

# Bihar (Alluvial / Red)
Alluvial,Kharif,Bihar,Rice,Extensive paddy in floodplains,"Urea, DAP"
Alluvial,Rabi,Bihar,Wheat,Major rabi cereal,"NPK complex"
Alluvial,Zaid,Bihar,Maize,Short-season summer crop,"Urea, NPK"
Red,Kharif,Bihar,Groundnut,N-fixing oilseed in uplands,"Gypsum"
Red,Rabi,Bihar,Pulses,Drought-tolerant legumes,"Phosphate fertilizer"
Red,Zaid,Bihar,Vegetables,Local summer vegetables,"Compost"

# Chhattisgarh (Red / Laterite / Alluvial)
Red,Kharif,Chhattisgarh,Rice,Rainfed rice in red soils,"Urea, DAP"
Red,Rabi,Chhattisgarh,Pulses,Good for mixed cropping,"Phosphate fertilizer"
Red,Zaid,Chhattisgarh,Maize,Short summer crop,"NPK"
Laterite,Kharif,Chhattisgarh,Millets,Drought-tolerant cereals,"Organic manure"
Laterite,Rabi,Chhattisgarh,Groundnut,N-fixing benefits,"Gypsum"
Laterite,Zaid,Chhattisgarh,Vegetables,Short-duration crops,"Compost"
Alluvial,Kharif,Chhattisgarh,Rice,High-yield valley rice,"Urea, DAP"
Alluvial,Rabi,Chhattisgarh,Vegetables,Good fertility areas,"Compost, NPK"
Alluvial,Zaid,Chhattisgarh,Maize,Fast-growing cereal,"NPK"

# Goa (Laterite / Alluvial / Sandy)
Laterite,Kharif,Goa,Cashew,Classic crop for lateritic soils,"Organic manure"
Laterite,Rabi,Goa,Coconut,Perennial suited to well-drained laterite,"Compost"
Laterite,Zaid,Goa,Vegetables,Smallholder gardens,"NPK"
Alluvial,Kharif,Goa,Rice,Coastal paddy in lowlands,"Urea, DAP"
Alluvial,Rabi,Goa,Jute/Vegetables,Humid-region crops,"Compost"
Alluvial,Zaid,Goa,Maize,Short summer crop,"NPK"
Sandy,Kharif,Goa,Coconut,Coastal sandy belts,"Organic manure"
Sandy,Rabi,Goa,Watermelon,Porous soils support melons,"Potash"
Sandy,Zaid,Goa,Sunflower,Short oilseed crop,"DAP, Potash"

# Gujarat (Black / Alluvial / Sandy / Loamy)
Black,Kharif,Gujarat,Cotton,Ideal for regur soils,"NPK"
Black,Rabi,Gujarat,Castor,Commercial oilseed,"Urea"
Black,Zaid,Gujarat,Maize,Quick summer crop,"NPK"
Alluvial,Kharif,Gujarat,Rice,Irrigated alluvial tracts,"DAP"
Alluvial,Rabi,Gujarat,Wheat,Rabi cereal in irrigated pockets,"NPK"
Alluvial,Zaid,Gujarat,Vegetables,Short crops in river plains,"Compost"
Sandy,Kharif,Gujarat,Bajra,Drought-tolerant millet,"Compost"
Sandy,Rabi,Gujarat,Mustard,Oilseed adapted to semi-arid,"Phosphorus, Sulphur"
Sandy,Zaid,Gujarat,Groundnut,Light-soil oilseed,"Gypsum"
Loamy,Kharif,Gujarat,Soybean,Good yields in loamy patches,"SSP"
Loamy,Rabi,Gujarat,Cumin,Spice crop in loamy soil,"Organic manure"
Loamy,Zaid,Gujarat,Vegetables,Short-season vegetables,"Compost"

# Haryana (Alluvial)
Alluvial,Kharif,Haryana,Rice,Canal-irrigated paddy areas,"Urea, DAP"
Alluvial,Rabi,Haryana,Wheat,Major Rabi crop,"NPK complex"
Alluvial,Zaid,Haryana,Maize,Summer crop after rabi harvest,"Urea, NPK"

# Himachal Pradesh (Hill/Mountain / Alluvial in valleys)
Hill/Forest,Kharif,Himachal Pradesh,Maize,Sloping and terrace agriculture,"Compost"
Hill/Forest,Rabi,Himachal Pradesh,Millets,Low-input cereals for hills,"Organic manure"
Hill/Forest,Zaid,Himachal Pradesh,Vegetables,High-value hill vegetables,"Compost, NPK"
Alluvial,Kharif,Himachal Pradesh,Rice,Valley paddy in lowlands,"Urea"
Alluvial,Rabi,Himachal Pradesh,Wheat,Valley rabi cereal,"NPK"
Alluvial,Zaid,Himachal Pradesh,Maize,Short-season crop in valleys,"Urea"

# Jharkhand (Red / Laterite / Alluvial)
Red,Kharif,Jharkhand,Rice,Rainfed paddy in red soils,"Urea, DAP"
Red,Rabi,Jharkhand,Millets,Low-input cereals,"Organic manure"
Red,Zaid,Jharkhand,Groundnut,N-fixing oilseed,"Gypsum"
Laterite,Kharif,Jharkhand,Maize,Adapted to lateritic uplands,"NPK"
Laterite,Rabi,Jharkhand,Groundnut,Improves nitrogen,"Gypsum"
Laterite,Zaid,Jharkhand,Vegetables,Smallholder vegetable plots,"Compost"
Alluvial,Kharif,Jharkhand,Rice,Valley and riverine paddy,"Urea"
Alluvial,Rabi,Jharkhand,Vegetables,Good for market crops,"Compost, NPK"
Alluvial,Zaid,Jharkhand,Maize,Quick summer crop,"NPK"

# Karnataka (Laterite / Black / Red / Loamy)
Laterite,Kharif,Karnataka,Rice,Coastal and upland paddy zones,"Urea"
Laterite,Rabi,Karnataka,Ragi,Traditional cereal in lateritic uplands,"Organic manure"
Laterite,Zaid,Karnataka,Groundnut,N-fixing oilseed,"Gypsum"
Black,Kharif,Karnataka,Cotton,Black soils in northern parts,"NPK"
Black,Rabi,Karnataka,Gram,Drought-tolerant pulses,"Phosphate"
Black,Zaid,Karnataka,Maize,Quick summer crop,"NPK"
Red,Kharif,Karnataka,Millets,Suited for red soils,"Organic manure"
Red,Rabi,Karnataka,Sorghum,Resilient rabi cereal,"SSP"
Red,Zaid,Karnataka,Vegetables,Local summer vegetables,"Compost"
Loamy,Kharif,Karnataka,Sugarcane,Good yields in loamy tracts,"Organic manure"
Loamy,Rabi,Karnataka,Vegetables,High-value horticulture,"Compost, NPK"
Loamy,Zaid,Karnataka,Watermelon,Light-soil summer crop,"Potash"

# Kerala (Laterite / Alluvial / Clayey / Sandy)
Laterite,Kharif,Kerala,Cashew,Classic lateritic crop,"Organic manure"
Laterite,Rabi,Kerala,Pineapple,Good drainage,"Compost"
Laterite,Zaid,Kerala,Groundnut,N-fixing crop,"SSP, Gypsum"
Alluvial,Kharif,Kerala,Rice,Monsoon paddy in lowlands,"Urea, DAP"
Alluvial,Rabi,Kerala,Vegetables,High-value veg in fertile tracts,"Compost"
Alluvial,Zaid,Kerala,Maize,Short-season cereal,"NPK"
Clayey,Kharif,Kerala,Banana,Moisture-retaining tuber and banana,"Organic manure"
Clayey,Rabi,Kerala,Tapioca,Good for tuber crops,"Compost"
